Title,Music_Composer,Genre
Sonta Ooru,Ghantasala,Drama
Sri Gauri Mahatyam,Ogirala Ramachandra Rao,Folklore
Tenali Ramakrishna,"M. S. Viswanathan
",Historical
Uma Sundari,"Ashwathama
",Drama
Vidhi Vilasamu,Ilaiyaraaja,"Romance
"
Akka Chellelu,Pendyala Nageswara Rao,Drama
Allauddin Adhbhuta Deepam,S. Rajeswara Rao,Folklore
Bhagya Rekha,Pendyala Nageswara Rao,Drama
Bhale Ammayilu,S. Rajeswara Rao,Drama
Bhale Baava,S. Dakshinamurthi,Comedy
Dhampathyam,Ramesh Naidu,Comedy
Dongallo Dora,M. Subrahmanya Raju,Drama
Evari Abbayi,S. Dakshinamurthi,"Romance
"
Gandharva Kanya,"P. Shyamanna
","Romance
"
Kutumba Gowravam,"M. S. Viswanathan
",Drama
M.L.A.,Pendyala Nageswara Rao,Social
Mayabazar,Ghantasala,Mythology
Nala Damayanthi,B. Gopalam,Mythology
Panduranga Mahatyam,T. V. Raju,Devotional
Parasakthi,"M. S. Viswanathan
","Romance
"
Peddarikalu,Master Venu,Drama
Preme Daivam,"H. R. Padmanabha Sastry
",Drama
Rajaputhri Rahasyamu,G. Ramanathan,"Romance
"
Rani Rangamma,"M. S. Viswanathan
","Romance
"
Ratnagiri Rahasyam,"M. S. Viswanathan
","Romance
"
Repu Needhe,Ghantasala,Drama
Sankalpam,S. Dakshinamurthi,Drama
Sarangadhara,Ghantasala,Folklore
Sati Anasuya,Ghantasala,Folklore
Sati Savitri,S. Rajeswara Rao,Folklore
Suvarna Sundari,P. Adinarayana Rao,Folklore
Swayamprabha,Ramesh Naidu,Folklore
Thalavanchani Veerudu,"Pamarthi Venkateswara Rao
","Romance
"
Thodi Kodallu,Master Venu,Drama
Town Bus,K. V. Mahadevan,"Romance
"
Vadhante Dabbu,"T. A. Kalyanam
",Drama
Varudu Kavali,G. Ramanathan,Comedy
Veera Kankanam,S. Dakshinamurthi,Mythology
Vegu Chukka,"M. S. Viswanathan
","Romance
"
Vinayaka Chaviti,Ghantasala,Devotional
Aada Pettanam,S. Rajeswara Rao,"Romance
"
Anna Thammudu,"Ashwathama
",Drama
Atha Okinti Kodale,Pendyala Nageswara Rao,Drama
Badi Panthulu,T. G. Lingappa,Drama
Bhookailas,R. Sudarsanam,Mythology
Bhuloka Ramba,C. N. Pandurangan,Folklore
Bommala Pelli,K. V. Mahadevan,"Romance
"
Chenchu Lakshmi,S. Rajeswara Rao,Mythology
Dongalunnaru Jagratha,K. V. Mahadevan,Drama
Etthuku Pai Etthu,Master Venu,Social
Ganga Gouri Samvadam,Pendyala Nageswara Rao,Mythology
Inti Guttu,"M. S. Prakash
",Family
Karthavarayuni Katha,G. Ramanathan,Mythology
Kondaveeti Donga,K. V. Mahadevan,"Romance
"
Manchi Manasuku Manchi Rojulu,Ghantasala,Drama
Mundhadugu,K. V. Mahadevan,Drama
Parvathi Kalyanam,Ghantasala,Devotional
Pathi Bakthi,"M. S. Viswanathan
",Drama
Raja Nandini,T. V. Raju,Drama
Sabhash Pillaa,T. G. Lingappa,"Romance
"
Sobha,A. M. Rajah,Drama
Sri Krishna Garadi,Pendyala Nageswara Rao,Mythology
Sri Krishna Maya,T. V. Raju,Devotional
Sree Ramanjaneya Yuddham,Pendyala Nageswara Rao,Devotional
Uttama Illaalu,G. Ramanathan,Folklore
Veera Kadgamu,G. Ramanathan,Folklore
Veera Pratap,G. Ramanathan,Historical
Vijaya Kota Veerudu,C. Ramchandra,Folklore
Aalu Magalu,K. V. Mahadevan,Drama
Anaganaga Oka Raju,S. M. Subbaiah Naidu,Action
Appu Chesi Pappu Koodu,S. Rajeswara Rao,"Romance
"
Bala Nagamma,T. V. Raju,Folklore
Banda Ramudu,V. Dakshinamoorthy,Folklore
Bhagya Devatha,Master Venu,Drama
Bhaktha Ambareesha,"L. Malleswara Rao
",Devotional
Daiva Balam,"Ashwathama
",Mythology
Illarikam,T. Chalapathi Rao,Drama
Jayabheri,Pendyala Nageswara Rao,Mythology
Jaya Vijaya,Ilaiyaraaja,Family
Karmika Vijayam,Ilaiyaraaja,Family
Koothuru Kaapuram,Ghantasala,Drama
Krishna Leelalu,S. Dakshinamurthi,Devotional
Maa Inti Mahalakshmi,"Ashwathama
",Drama
Mangalya Balam,Master Venu,Drama
Manorama,Ramesh Naidu,Drama
Pelli Meeda Pelli,Rajan-Nagendra,Drama
Pellinaati Pramanalu,Ghantasala,"Romance
"
Pelli Sandadi,Ghantasala,Drama
Raja Malaya Simha,"M. S. Viswanathan
",Historical
Rechukka Pagatichukka,T. V. Raju,Historical
Sabhash Ramudu,Ghantasala,Drama
Sati Sukanya,Ghantasala,Devotional
Sati Tulasi,"Pamarthi Venkateswara Rao
",Devotional
Sipayi Koothuru,Ilaiyaraaja,Folklore
Vachina Kodalu Nachindi,V. Dakshinamoorthy,"Romance
"
Veera Bhaskarudu,S. Hanumantha Rao,Folklore
Veera Pandya Katta Brahmana,G. Ramanathan,Historical
Abhimanam,Ghantasala,Drama
Anna Chellelu,Rajan-Nagendra,Drama
Annapurna,S. Dakshinamurthi,Drama
Bhakta Raghunath,Ghantasala,Mythology
Bhakta Sabari,Pendyala Nageswara Rao,Mythology
Bhatti Vikramarka,Pendyala Nageswara Rao,Historical
Chivaraku Migiledi,"Ashwathama
",Drama
Deepavali,Ghantasala,Mythology
Devanthakudu,"Ashwathama
",Folklore
Dharmame Jayam,S. Hanumantha Rao,Drama
Kanna Koothuru,M. Ranga Rao,Drama
Jagannatakam,"Ashwathama
",Drama
Jalsa Rayudu,Master Venu,Drama
Kadeddulu Ekaram Nela,T. V. Raju,Drama
Kanakadurga Pooja Mahima,Rajan-Nagendra,Devotional
Kula Daivam,Pendyala Nageswara Rao,Family
Kumkuma Rekha,Master Venu,Family
Maa Babu,T. Chalapathi Rao,Family
Magavari Mayalu,"Nityanand
",Comedy
Mahakavi Kalidasu,Pendyala Nageswara Rao,Biography
Mamaku Tagga Alludu,"M. S. Prakash
",Comedy
Mangalyam,Ghantasala,Family
Nammina Bantu,S. Rajeswara Rao,Drama
Nithya Kalyanam Paccha Thoranam,Pendyala Nageswara Rao,Drama
Pelli Kanuka,A. M. Rajah,"Romance
"
Pillalu Techina Challani Rajyam,T. G. Lingappa,Drama
Raja Makutam,Master Venu,Folklore
Ramasundari,S. Dakshinamurthi,Folklore
